Ref_number;States;Municipality ;Study_location;Coordinates ;Conservation_unit;Status_conservation_unit;Phytophysiognomy_type;Plant_species_original;Plant_species_adjusted;Plant_family;Plant_genus;Threat_status;Life_form;Vegetation_type;Plant_distribution;Biogeographical _domain;
Ref_12;GO;Pirenópolis, Corumbá de Goiás, Cocalzinho;Parque Estadual da Serra dos Pireneus;15°48’S, 48°52’W;Yes;Estadual;Mata de galeria;Eugenia punicifolia;Eugenia punicifolia (Kunth) DC.;Myrtaceae;Eugenia;NA;Shrub|Subshrub;Caatinga (stricto sensu)|Campinarana|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Restinga|Vegetação Sobre Afloramentos Rochosos;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_25;BA;Caetité;Serra Geral;14°04’S, 42°29’W;No;No;Transição cerrado-caatinga;Eugenia punicifolia (Kunth) DC.;Eugenia punicifolia (Kunth) DC.;Myrtaceae;Eugenia;NA;Shrub|Subshrub;Caatinga (stricto sensu)|Campinarana|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Restinga|Vegetação Sobre Afloramentos Rochosos;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_32;BA;Caetité;Brejinho das Ametistas;"14°15’46”S; 42°31’28”W";No;No;Cerrado;Eugenia punicifolia (Kunth) DC.;Eugenia punicifolia (Kunth) DC.;Myrtaceae;Eugenia;NA;Shrub|Subshrub;Caatinga (stricto sensu)|Campinarana|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Restinga|Vegetação Sobre Afloramentos Rochosos;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_10;MG;NA;Parque Estadual de Biribiri;20°35'S-11°11' S;Yes;Estadual;Campo rupestre;Eugenia punicifolia;Eugenia punicifolia (Kunth) DC.;Myrtaceae;Eugenia;NA;Shrub|Subshrub;Caatinga (stricto sensu)|Campinarana|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Restinga|Vegetação Sobre Afloramentos Rochosos;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_01;MG;Belo Horizonte;Campus Pampulha;"19°51'51,4""S 43°57'55,8""W";No;No;Cerrado, mata;Eugenia ovalifolia;Eugenia punicifolia (Kunth) DC.;Myrtaceae;Eugenia;NA;Shrub|Subshrub;Caatinga (stricto sensu)|Campinarana|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Restinga|Vegetação Sobre Afloramentos Rochosos;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_11;MG;Santana do Riacho;Serra do Cipó;"43°36’23.0’’W, 19º 19’44.6’’S; 43°36’42.3’’W, 19º 18’ 24.1’’S; 43°36’09.3’’W, 19º 20’24.0’’S";No;No;Campo rupestre, cerrado;Eugenia sonderiana;Eugenia sonderiana O.Berg;Myrtaceae;Eugenia;NA;Shrub|Tree;Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila Mista;BA|CE|GO|MG|PR|SP;Caatinga|Cerrado|Mata Atlântica;
Ref_31;BA;Caetité;Trilha Jacaraci;14°05’18”S, 42°29’56”W;No;No;Cerrado;Eugenia stictopetala ;Eugenia stictopetala Mart. ex DC.;Myrtaceae;Eugenia;NA;Shrub|Tree;Campo rupestre|Cerrado (lato sensu)|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial);AM|BA|CE|ES|GO|MG|MT|PA|PI|RO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_19;GO; Mineiros, Chapadão do Céu;Parque Nacional das Emas;17°49?S-18°28?S, 52°39?W-53°10?W;Yes;Federal;Cerrado, campo sujo, campo limpo;Eugenia ternatifolia;Eugenia ternatifolia Cambess.;Myrtaceae;Eugenia;NA;Shrub;Cerrado (lato sensu);GO|MS|MT;Cerrado;
Ref_21;BA;Caetité;APP da nascente do riacho Jatobá;14°04'36,8''S, 42°29'59,7''W;No;No;Transição cerrado-caatinga;Psychotria carrascoana;Eumachia depauperata (Müll.Arg.) M.R. Barbosa & M.S.Pereira;Rubiaceae;Eumachia;NA;Shrub;Caatinga (stricto sensu)|Carrasco|Floresta Estacional Semidecidual|Restinga;CE|PB|RJ;Caatinga|Mata Atlântica;
Ref_03;MG;Grão Mogol;Fazenda Cabral;42°47'W, 16°34'S;No;NA;Campo rupestre, floresta pluvial riparia, floresta estacional;Arrabidaea craterophora;Fridericia craterophora (DC.) L.G.Lohmann;Bignoniaceae;Fridericia;NA;Shrub;Campinarana|Cerrado (lato sensu);BA|DF|GO|MA|MG|MS|MT|PA|PI|RO|SP|TO;Caatinga|Cerrado|Mata Atlântica|Pantanal;
Ref_04;MG;Três Marias;Estação Ecológica de Pirapitinga;"18°20'S-18°23'S; 45°I7'W-45°20'W";Yes;Federal;Campo sujo;Arrabidaea brachypoda;Fridericia platyphylla (Cham.) L.G.Lohmann;Bignoniaceae;Fridericia;NA;Shrub|Liana/volúvel/trepadeira;Caatinga (stricto sensu)|Campinarana|Cerrado (lato sensu);AC|AL|AM|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RO|RR|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal;
Ref_13;MG;Januária;Área de Proteção Ambiental do Rio Pandeiros;15°29’15”S, 44°21’40”W;Yes;Estadual;Mata seca;Galipea jasminiflora;Galipea jasminiflora (A.St.-Hil.) Engl.;Rutaceae;Galipea;NA;Tree;Floresta Estacional Semidecidual;BA|DF|ES|GO|MG|RJ|SP;Cerrado|Mata Atlântica;
Ref_18;MG;NA;Parque Estadual do Brigadeiro;42°20’S-42°40’S, 20°20’W-21°00’W;Yes;Estadual;Campo rupestre;Gaylussacia decipiens;Gaylussacia decipiens Cham.;Ericaceae;Gaylussacia;NT;Shrub|Subshrub;Campo de Altitude|Campo rupestre;MG|RJ|SP;Cerrado|Mata Atlântica;
Ref_10;MG;NA;Parque Estadual do Rio Preto;20°35'S-11°11' S;Yes;Estadual;Campo rupestre, cerrado;Gaylussacia pinifolia;Gaylussacia pinifolia Cham. & Schltdl.;Ericaceae;Gaylussacia;NA;Shrub|Subshrub;Campo rupestre;MG;Cerrado;
Ref_15;SP;Luiz Antônio;Ecological Station of Jataí;"21°36’19.44”S, 47°47’28.86”W; 21°36’14.10”S, 47°46’34.44”W; 21°36’2.81”S, 47°45’38.32”W; 21°35’33.27”S, 47°45’40.86”W; 21°37’48.48”S, 47°42’33.15”W";Yes;Estadual;Cerradão, cerrado;Gochnatia pulchra Cabrera;Gochnatia pulchra Cabrera;Asteraceae;Gochnatia;NA;NA;NA;NA;NA;
Ref_07;SP;Santa Rita do Passa Quatro;Pé-de-Gigante Cerrado Reserve;"21°35’ S; 47°35’W";Yes;Federal;Cerrado;Gochnatia pulchra;Gochnatia pulchra Cabrera;Asteraceae;Gochnatia;NA;NA;NA;NA;NA;
Ref_14;MG;Ingaí;Reserva Biológica Unilavras-Boqueirão;21°20’47”S, 44°59’27”W;Yes;NA;Cerrado;Gochnatia barrosii;Gochnatia barrosii Cabrera;Asteraceae;Gochnatia;NA;NA;NA;NA;NA;
Ref_26;GO;Silvânia;Floresta Nacional de Silvânia;"16°38’11,79”S, 48°39’50,82”W; 16°37’52,90”S, 48°39’52,38”W";Yes;Federal;Cerrado, mata de galeria;Gochnatia barrosii;Gochnatia barrosii Cabrera;Asteraceae;Gochnatia;NA;NA;NA;NA;NA;
Ref_18;MG;NA;Parque Nacional do Itatiaia;22°21’S, 44°40’W;Yes;Estadual;Campo rupestre;Grazielia gaudichaudeana;Grazielia gaudichaudeana (DC.) R.M.King & H.Rob.;Asteraceae;Grazielia;NA;Shrub|Subshrub;Área Antrópica|Campo de Altitude|Campo rupestre|Cerrado (lato sensu);GO|MG|PR|RJ|RS|SC|SP;Cerrado|Mata Atlântica;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Guapira gracilifolia (Vell.) Reitz;Guapira graciliflora (Mart. ex Schmidt) Lundell;Nyctaginaceae;Guapira;NA;Shrub|Tree;Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual;BA|CE|DF|GO|MA|MG|MS|MT|PE|PI|RO|SP|TO;Amazônia|Caatinga|Cerrado;
Ref_10;MG;NA;Parque Estadual de Biribiri;20°35'S-11°11' S;Yes;Estadual;Campo rupestre;Guapira graciliflora;Guapira graciliflora (Mart. ex Schmidt) Lundell;Nyctaginaceae;Guapira;NA;Shrub|Tree;Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual;BA|CE|DF|GO|MA|MG|MS|MT|PE|PI|RO|SP|TO;Amazônia|Caatinga|Cerrado;
Ref_17;MG;NA;Parque Estadual da Serra do Cabral;17°03’S-18° 13’S, 44°05’W-44°52’W;Yes;Estadual;Campo rupestre, campo cerrado, campo sujo;Guapira noxia;Guapira noxia (Netto) Lundell;Nyctaginaceae;Guapira;NA;Shrub|Tree;Campo rupestre|Cerrado (lato sensu);DF|GO|MG|MS|MT|SP;Cerrado;
Ref_19;GO; Mineiros, Chapadão do Céu;Parque Nacional das Emas;17°49?S-18°28?S, 52°39?W-53°10?W;Yes;Federal;Cerrado, campo sujo, campo limpo;Guapira noxia;Guapira noxia (Netto) Lundell;Nyctaginaceae;Guapira;NA;Shrub|Tree;Campo rupestre|Cerrado (lato sensu);DF|GO|MG|MS|MT|SP;Cerrado;
Ref_10;MG;NA;Parque Estadual do Rio Preto;20°35'S-11°11' S;Yes;Estadual;Campo rupestre, cerrado;Guapira noxia;Guapira noxia (Netto) Lundell;Nyctaginaceae;Guapira;NA;Shrub|Tree;Campo rupestre|Cerrado (lato sensu);DF|GO|MG|MS|MT|SP;Cerrado;
Ref_32;BA;Caetité;Brejinho das Ametistas;"14°15’46”S; 42°31’28”W";No;No;Campo rupestre;Guapira opposita;Guapira opposita (Vell.) Reitz;Nyctaginaceae;Guapira;NA;Shrub|Tree;Área Antrópica|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga|Vegetação Sobre Afloramentos Rochosos;AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|PA|PB|PE|PR|RJ|RS|SC|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_27;MS;Aquidauana;Universidade Estadual de Mato Grosso do Sul (UEMS), Distrito de Camisão;"20°27'21.4""S, 55°39'46.1""W; 20°26'58.1""S, 55°38'16.9""W";No;No;Cerrado;Guarea guidonia ;Guarea guidonia (L.) Sleumer;Meliaceae;Guarea;NA;Tree;Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial);AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_21;BA;Caetité;APP da nascente do riacho Jatobá;14°04'36,8''S, 42°29'59,7''W;No;No;Transição cerrado-caatinga;Guatteria odontopetala;Guatteria australis A.St.-Hil.;Annonaceae;Guatteria;LC;Shrub|Tree;Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);BA|ES|GO|MG|PR|RJ|RS|SC|SP;Cerrado|Mata Atlântica;
Ref_11;MG;Santana do Riacho;Serra do Cipó;"43°36’23.0’’W, 19º 19’44.6’’S; 43°36’42.3’’W, 19º 18’ 24.1’’S; 43°36’09.3’’W, 19º 20’24.0’’S";No;No;Campo rupestre, cerrado;Guazuma ulmifolia;Guazuma ulmifolia Lam.;Malvaceae;Guazuma;NA;Tree;Área Antrópica|Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_11;MG;Santana do Riacho;Serra do Cipó;"43°36’23.0’’W, 19º 19’44.6’’S; 43°36’42.3’’W, 19º 18’ 24.1’’S; 43°36’09.3’’W, 19º 20’24.0’’S";No;No;Campo rupestre, cerrado;Guettarda viburnoides;Guettarda viburnoides Cham. & Schltdl.;Rubiaceae;Guettarda;NA;Shrub|Tree;Área Antrópica|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Vegetação Sobre Afloramentos Rochosos;AL|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RS|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_27;MS;Aquidauana;Universidade Estadual de Mato Grosso do Sul (UEMS), Distrito de Camisão;"20°27'21.4""S, 55°39'46.1""W; 20°26'58.1""S, 55°38'16.9""W";No;No;Cerrado;Handroanthus chrysotrichus;Handroanthus chrysotrichus (Mart. ex DC.) Mattos;Bignoniaceae;Handroanthus;NA;Tree;Carrasco|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Vegetação Sobre Afloramentos Rochosos;BA|ES|MG|PB|PE|PR|RJ|RS|SC|SP;Cerrado|Mata Atlântica;
Ref_13;MG;Januária;Área de Proteção Ambiental do Rio Pandeiros;15°29’15”S, 44°21’40”W;Yes;Estadual;Mata ciliar;Tabebuia impetiginosus;Handroanthus impetiginosus (Mart. ex DC.) Mattos;Bignoniaceae;Handroanthus;NT;Tree;Área Antrópica|Carrasco|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Savana Amazônica|Vegetação Sobre Afloramentos Rochosos;AC|AL|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|RJ|RN|RO|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal;
Ref_27;MS;Aquidauana;Universidade Estadual de Mato Grosso do Sul (UEMS), Distrito de Camisão;"20°27'21.4""S, 55°39'46.1""W; 20°26'58.1""S, 55°38'16.9""W";No;No;Cerrado;Handroanthus ochraceus (Cham.) Mattos;Handroanthus ochraceus (Cham.) Mattos;Bignoniaceae;Handroanthus;NA;Tree;Campo rupestre|Carrasco|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos;BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Handroanthus ochraceus (Cham.) Mattos;Handroanthus ochraceus (Cham.) Mattos;Bignoniaceae;Handroanthus;NA;Tree;Campo rupestre|Carrasco|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos;BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_17;MG;NA;Parque Estadual da Serra do Cabral;17°03’S-18° 13’S, 44°05’W-44°52’W;Yes;Estadual;Campo rupestre, campo cerrado, campo sujo;Tabebuia ochracea;Handroanthus ochraceus (Cham.) Mattos;Bignoniaceae;Handroanthus;NA;Tree;Campo rupestre|Carrasco|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos;BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_07;SP;Santa Rita do Passa Quatro;Pé-de-Gigante Cerrado Reserve;"21°35’ S; 47°35’W";Yes;Federal;Cerrado;Tabebuia ochracea;Handroanthus ochraceus (Cham.) Mattos;Bignoniaceae;Handroanthus;NA;Tree;Campo rupestre|Carrasco|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos;BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_19;GO; Mineiros, Chapadão do Céu;Parque Nacional das Emas;17°49?S-18°28?S, 52°39?W-53°10?W;Yes;Federal;Cerrado, campo sujo, campo limpo;Handroanthus ochraceus;Handroanthus ochraceus (Cham.) Mattos;Bignoniaceae;Handroanthus;NA;Tree;Campo rupestre|Carrasco|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos;BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_03;MG;Minas Novas;Posses;42°47'W, 17°02'S;No;NA;Cerrado;Tabebuia ochraceus;Handroanthus ochraceus (Cham.) Mattos;Bignoniaceae;Handroanthus;NA;Tree;Campo rupestre|Carrasco|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos;BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_05;MG;Delfinópolis;Represa de Peixoto;20°15’S, 20°30’S, 46°45’W-47°00’W;No;No;Cerrado;Tabebuia ochraceus;Handroanthus ochraceus (Cham.) Mattos;Bignoniaceae;Handroanthus;NA;Tree;Campo rupestre|Carrasco|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos;BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_01;MG;Belo Horizonte;Campus Pampulha;"19°51'51,4""S 43°57'55,8""W";No;No;Cerrado, mata;Tabebuia ochraceus;Handroanthus ochraceus (Cham.) Mattos;Bignoniaceae;Handroanthus;NA;Tree;Campo rupestre|Carrasco|Cerrado (lato sensu)|Vegetação Sobre Afloramentos Rochosos;BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_10;MG;NA;Parque Estadual de Biribiri;20°35'S-11°11' S;Yes;Estadual;Campo rupestre;Tabebuia pumila;Handroanthus pumilus (A.H.Gentry) S.Grose;Bignoniaceae;Handroanthus;NA;Shrub;Vegetação Sobre Afloramentos Rochosos;MG;Cerrado;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Heterocondylus alatus;Heterocondylus alatus (Vell.) R.M.King & H.Rob.;Asteraceae;Heterocondylus;NA;Shrub;Área Antrópica|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);BA|DF|ES|GO|MG|MS|MT|PR|RJ|RS|SC|SP;Caatinga|Cerrado|Mata Atlântica;
Ref_24;GO;Goiânia;Câmpus Samambaia da Universidade Federal de Goiás;16°36’S, 49°16’W;No;No;Mata semicaducifólia;Heterocondylus alatus ;Heterocondylus alatus (Vell.) R.M.King & H.Rob.;Asteraceae;Heterocondylus;NA;Shrub;Área Antrópica|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial);BA|DF|ES|GO|MG|MS|MT|PR|RJ|RS|SC|SP;Caatinga|Cerrado|Mata Atlântica;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Heteropterys byrsonimifolia A. Juss.;Heteropterys byrsonimifolia A.Juss.;Malpighiaceae;Heteropterys;NA;Shrub|Tree;Campo rupestre|Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PR|SP;Cerrado;
Ref_04;MG;Três Marias;Estação Ecológica de Pirapitinga;"18°20'S-18°23'S; 45°I7'W-45°20'W";Yes;Federal;Cerrado;Heteropterys byrsonimifolia;Heteropterys byrsonimifolia A.Juss.;Malpighiaceae;Heteropterys;NA;Shrub|Tree;Campo rupestre|Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PR|SP;Cerrado;
Ref_07;SP;Santa Rita do Passa Quatro;Pé-de-Gigante Cerrado Reserve;"21°35’ S; 47°35’W";Yes;Federal;Cerrado;Heteropterys byrsonimifolia;Heteropterys byrsonimifolia A.Juss.;Malpighiaceae;Heteropterys;NA;Shrub|Tree;Campo rupestre|Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PR|SP;Cerrado;
Ref_03;MG;Minas Novas;Posses;42°47'W, 17°02'S;No;NA;Cerrado;Heteropterys byrsonimifolia;Heteropterys byrsonimifolia A.Juss.;Malpighiaceae;Heteropterys;NA;Shrub|Tree;Campo rupestre|Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PR|SP;Cerrado;
Ref_10;MG;NA;Serra do Ouro Branco;20°35'S-11°11' S;No;NA;Campo rupestre;Heteropterys byrsonimifolia;Heteropterys byrsonimifolia A.Juss.;Malpighiaceae;Heteropterys;NA;Shrub|Tree;Campo rupestre|Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PR|SP;Cerrado;
Ref_30;GO;Hidrolândia;Escola Agrícola;17°01’05”S, 49°11’49”W;No;No;Cerrado;Heteropterys eglandulosa;Heteropterys eglandulosa A. Juss.;Malpighiaceae;Heteropterys;NA;Shrub;Campo rupestre|Cerrado (lato sensu);BA|DF|GO|MG|PI|SP;Caatinga|Cerrado;
Ref_10;MG;NA;Parque Estadual do Rio Preto;20°35'S-11°11' S;Yes;Estadual;Campo rupestre, cerrado;Himatanthus obovatus;Himatanthus obovatus (MÃ¼ll. Arg.) Woodson;Apocynaceae;Himatanthus;NA;Tree;Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria;AL|AM|BA|DF|GO|MA|MG|MS|MT|PA|RO|SP|TO;Amazônia|Caatinga|Cerrado;
Ref_10;MG;NA;Serra do Ouro Branco;20°35'S-11°11' S;No;NA;Campo rupestre;Hirtella floribunda;Hirtella floribunda Cham. & Schltdl.;Chrysobalanaceae;Hirtella;NA;Shrub|Tree;Cerrado (lato sensu);MG;Cerrado;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Hirtella glandulosa;Hirtella glandulosa Spreng.;Chrysobalanaceae;Hirtella;NA;Shrub|Tree;Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Restinga;AM|AP|BA|CE|DF|GO|MA|MG|MS|MT|PA|PI|RO|TO;Amazônia|Cerrado|Mata Atlântica;
Ref_24;GO;Goiânia;Câmpus Samambaia da Universidade Federal de Goiás;16°36’S, 49°16’W;No;No;Mata semicaducifólia;Hirtella glandulosa;Hirtella glandulosa Spreng.;Chrysobalanaceae;Hirtella;NA;Shrub|Tree;Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Restinga;AM|AP|BA|CE|DF|GO|MA|MG|MS|MT|PA|PI|RO|TO;Amazônia|Cerrado|Mata Atlântica;
Ref_04;MG;Três Marias;Estação Ecológica de Pirapitinga;"18°20'S-18°23'S; 45°I7'W-45°20'W";Yes;Federal;Cerradão;Hirtella gracilipes;Hirtella gracilipes (Hook.f.) Prance;Chrysobalanaceae;Hirtella;NA;Shrub|Tree;Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual;BA|DF|GO|MA|MG|MS|MT|PA|PI|RJ|RO|SP|TO;Amazônia|Cerrado|Mata Atlântica;
Ref_18;MG;NA;Parque Estadual do Brigadeiro;42°20’S-42°40’S, 20°20’W-21°00’W;Yes;Estadual;Campo rupestre;Hololepis pedunculata;Hololepis pedunculata (DC. ex Pers.) DC.;Asteraceae;Hololepis;LC;Shrub|Tree;Campo rupestre|Floresta Ciliar ou Galeria;MG;Cerrado;
Ref_10;MG;NA;Parque Estadual do Rio Preto;20°35'S-11°11' S;Yes;Estadual;Campo rupestre, cerrado;Hololepis pedunculata;Hololepis pedunculata (DC. ex Pers.) DC.;Asteraceae;Hololepis;LC;Shrub|Tree;Campo rupestre|Floresta Ciliar ou Galeria;MG;Cerrado;
Ref_13;MG;Januária;Área de Proteção Ambiental do Rio Pandeiros;15°29’15”S, 44°21’40”W;Yes;Estadual;Mata ciliar, mata seca;Hymenaea courbaril;Hymenaea courbaril L.;Fabaceae;Hymenaea;LC;Tree;Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)|Restinga;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal;
Ref_28;BA;Barreiras;Campus of the Universidade Federal do Oeste da Bahia;11°37’S-12°25’S, 44°34’W-46°23’W;No;No;Cerrado;Hymenea courbaril;Hymenaea courbaril L.;Fabaceae;Hymenaea;LC;Tree;Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)|Restinga;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal;
Ref_31;BA;Caetité;Trilha Jacaraci;14°05’18”S, 42°29’56”W;No;No;Cerrado;Hymenaea martiana ;Hymenaea martiana Hayne;Fabaceae;Hymenaea;LC;Tree;Área Antrópica|Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial);AL|BA|CE|DF|GO|MA|MG|MS|MT|PE|PI|SP|TO;Caatinga|Cerrado|Mata Atlântica;
Ref_27;MS;Aquidauana;Universidade Estadual de Mato Grosso do Sul (UEMS), Distrito de Camisão;"20°27'21.4""S, 55°39'46.1""W; 20°26'58.1""S, 55°38'16.9""W";No;No;Cerrado;Hymenaea stigonocarpa Mart. ex Hayne;Hymenaea stigonocarpa Mart. ex Hayne;Fabaceae;Hymenaea;NA;Tree;Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual;BA|DF|GO|MG|MS|MT|PE|PI|SP|TO;Amazônia|Caatinga|Cerrado|Pantanal;
Ref_08;GO;Pirenópolis, Cocalzinho, Corumbá;Parque Estadual da Serra dos Pireneus;15°50'S, 48°57'W;Yes;Estadual;Cerrado, campo rupestre, campo sujo, floresta de galeria;"Hymenaea stigonocarpa
";Hymenaea stigonocarpa Mart. ex Hayne;Fabaceae;Hymenaea;NA;Tree;Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual;BA|DF|GO|MG|MS|MT|PE|PI|SP|TO;Amazônia|Caatinga|Cerrado|Pantanal;
